id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49214672,Rental unit in Cambridge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,394741679,Olena,,Cambridgeport,42.35945,-71.10787,Private room,83,30,6,2023-09-01,0.25,15,223,1,
49281729,Rental unit in Cambridge · 2 bedrooms · 2 beds · 1 bath,107434423,Blueground,,West Cambridge,42.37461,-71.12245,Entire home/apt,342,32,0,,,162,253,0,
49300336,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,East Cambridge,42.36487379999999,-71.0830428,Entire home/apt,,32,0,,,162,0,0,
49300348,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,East Cambridge,42.36487379999999,-71.0830428,Entire home/apt,232,32,0,,,162,177,0,
49332762,Rental unit in Cambridge · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,East Cambridge,42.3640528,-71.0835716,Entire home/apt,115,32,0,,,162,365,0,
49380273,Rental unit in Cambridge · ★4.93 · 3 bedrooms · 3 beds · 1 bath,16510817,Jennifer,,Wellington-Harrington,42.37309,-71.09853,Entire home/apt,,3,44,2022-09-06,1.47,1,0,0,
49381421,Rental unit in Cambridge · ★5.0 · 1 bedroom · 1 bed · 1 bath,9793577,Catalina,,Riverside,42.36935,-71.11416,Entire home/apt,164,5,3,2023-08-05,0.10,6,76,1,
49382833,Rental unit in Cambridge · ★4.60 · 1 bedroom · 2 beds · 1 bath,394741679,Olena,,Riverside,42.36603,-71.11141,Entire home/apt,114,30,15,2023-08-29,0.52,15,257,9,
49414402,Rental unit in Cambridge · ★4.50 · 1 bedroom · 2 beds · 1.5 shared baths,248263858,Ann,,The Port,42.36866,-71.09885,Private room,55,30,177,2023-12-22,5.45,1,355,36,
49574487,Home in Cambridge · ★4.58 · 2 bedrooms · 2 beds · 1 bath,398199224,Camar,,Neighborhood Nine,42.38439339677557,-71.13285147259928,Entire home/apt,165,2,24,2023-11-25,2.74,2,283,24,C0946200768
49585783,Home in Cambridge · ★4.29 · 1 bedroom · 1 bed · 1 shared bath,398199224,Camar,,Neighborhood Nine,42.38448,-71.13307,Private room,68,1,38,2023-09-23,2.10,2,323,28,C0946200768
49631570,Rental unit in Cambridge · ★4.66 · 1 bedroom · 2 beds · 3 shared baths,400315550,Nikkita,,Neighborhood Nine,42.38866,-71.12208,Private room,55,30,115,2023-11-28,3.70,3,245,32,
49633481,Rental unit in Cambridge · ★4.77 · 1 bedroom · 2 beds · 3 shared baths,400330361,Ela,,Neighborhood Nine,42.38625,-71.12293,Private room,60,30,118,2023-12-22,3.78,3,248,21,
49709372,Rental unit in Cambridge · ★4.66 · 1 bedroom · 1 bed · 3 shared baths,400315550,Nikkita,,Neighborhood Nine,42.38601,-71.12113,Private room,55,30,64,2023-09-07,2.06,3,238,7,
